"","medicion","Sexo","GrupoEdad2","FEP_Ciudad"
"1","2005","0",1,11.9692609211409
"2","2005","0",2,10.7771886485509
"3","2005","0",3,10.7391594396264
"4","2005","0",4,12.4827148747225
"5","2005","0",5,12.6327662014911
"6","2005","0",6,10.9400986610289
"7","2005","0",7,9.21782178217822
"8","2005","1",1,1
"9","2005","1",2,1
"10","2005","1",3,1
"11","2005","1",4,1
"12","2005","1",5,1
"13","2005","1",6,1
"14","2005","1",7,1
"15","2006","0",1,11.7335324715456
"16","2006","0",2,11.1426642940418
"17","2006","0",3,11.0506702638901
"18","2006","0",4,12.4775362318841
"19","2006","0",5,13.1724370071168
"20","2006","0",6,11.4300083822297
"21","2006","0",7,9.80213542370591
"22","2006","1",1,1
"23","2006","1",2,1
"24","2006","1",3,1
"25","2006","1",4,1
"26","2006","1",5,1
"27","2006","1",6,1
"28","2006","1",7,1
"29","2007","0",1,25.6515847496555
"30","2007","0",2,25.7526337968816
"31","2007","0",3,24.2900144196107
"32","2007","0",4,30.2359190218481
"33","2007","0",5,34.2600918540005
"34","2007","0",6,29.6755080950741
"35","2007","0",7,24.3262809917355
"36","2007","1",1,25.1415005861665
"37","2007","1",2,23.8168231715382
"38","2007","1",3,23.7416899658279
"39","2007","1",4,28.2752553024352
"40","2007","1",5,30.3104693140794
"41","2007","1",6,25.8598953377735
"42","2007","1",7,23.6806042031524
"43","2008","0",1,20.2556655258533
"44","2008","0",2,26.8124089717448
"45","2008","0",3,26.2258549417512
"46","2008","0",4,31.9035010940919
"47","2008","0",5,32.9250675067507
"48","2008","0",6,29.4123945489942
"49","2008","0",7,24.7748760330579
"50","2008","1",1,19.1849689894199
"51","2008","1",2,23.0993820803296
"52","2008","1",3,26.3992962466488
"53","2008","1",4,28.4726530612245
"54","2008","1",5,29.6595675499919
"55","2008","1",6,26.6142591732466
"56","2008","1",7,24.6070792520036
"57","2009","0",1,23.1880600237504
"58","2009","0",2,23.8743829566121
"59","2009","0",3,25.1036036036036
"60","2009","0",4,28.9794196336695
"61","2009","0",5,32.4808813998704
"62","2009","0",6,28.9030689759951
"63","2009","0",7,23.5410539215686
"64","2009","1",1,23.125070106562
"65","2009","1",2,21.8139933831638
"66","2009","1",3,24.5663743574236
"67","2009","1",4,26.7240942888783
"68","2009","1",5,29.3108994378513
"69","2009","1",6,26.0765239948119
"70","2009","1",7,22.2241547781903
"71","2010","0",1,40.9191233514352
"72","2010","0",2,40.1852506071981
"73","2010","0",3,42.2301631963984
"74","2010","0",4,48.0035149384886
"75","2010","0",5,53.0268687564588
"76","2010","0",6,50.0120421475163
"77","2010","0",7,43.0292682926829
"78","2010","1",1,39.7106967615309
"79","2010","1",2,35.6803495224548
"80","2010","1",3,43.4538822303283
"81","2010","1",4,45.052660449808
"82","2010","1",5,49.8049286640726
"83","2010","1",6,42.6809155166611
"84","2010","1",7,39.8052738336714
"85","2011","0",1,41.8018886879646
"86","2011","0",2,38.456200471193
"87","2011","0",3,41.8747306034483
"88","2011","0",4,43.7695351137488
"89","2011","0",5,48.3823347745522
"90","2011","0",6,45.8184615384615
"91","2011","0",7,38.540945250351
"92","2011","1",1,41.4315111203492
"93","2011","1",2,36.8450554134697
"94","2011","1",3,46.4635076252723
"95","2011","1",4,50.905931122449
"96","2011","1",5,57.8703923900119
"97","2011","1",6,48.3579483448527
"98","2011","1",7,41.6701946056675
"99","2012","0",1,42.0280163599182
"100","2012","0",2,40.1146046935521
"101","2012","0",3,43.8708708708709
"102","2012","0",4,47.3442862358525
"103","2012","0",5,57.777332361516
"104","2012","0",6,55.986618630983
"105","2012","0",7,41.8998044965787
"106","2012","1",1,43.4832007073386
"107","2012","1",2,36.4415053763441
"108","2012","1",3,44.6491904394757
"109","2012","1",4,47.4419452887538
"110","2012","1",5,51.5671484888305
"111","2012","1",6,45.4
"112","2012","1",7,40.0378071833648
"113","2013","0",1,43.8472312001724
"114","2013","0",2,39.6396957123098
"115","2013","0",3,47.0637813211845
"116","2013","0",4,51.1661316211878
"117","2013","0",5,59.6478504672897
"118","2013","0",6,55.5845173934346
"119","2013","0",7,41.6030711959051
"120","2013","1",1,43.8593010146561
"121","2013","1",2,36.6694708877574
"122","2013","1",3,47.4013989776702
"123","2013","1",4,46.6509577379143
"124","2013","1",5,51.9426381178958
"125","2013","1",6,46.487687879757
"126","2013","1",7,39.7331334332834
"127","2014","0",1,46.4891655140618
"128","2014","0",2,40.7048821957736
"129","2014","0",3,48.1524893314367
"130","2014","0",4,50.4299960111687
"131","2014","0",5,58.3981684981685
"132","2014","0",6,55.6573986804901
"133","2014","0",7,40.967119684349
"134","2014","1",1,45.9332220367279
"135","2014","1",2,37.354898336414
"136","2014","1",3,47.4434666666667
"137","2014","1",4,48.1207606973059
"138","2014","1",5,51.6531853026698
"139","2014","1",6,44.9759786476868
"140","2014","1",7,39.2709988649262
"141","2015","0",1,53.1767207015679
"142","2015","0",2,44.2259810554804
"143","2015","0",3,51.8895243829019
"144","2015","0",4,51.8577868852459
"145","2015","0",5,60.4358483339717
"146","2015","0",6,59.7730150998539
"147","2015","0",7,40.8547509418167
"148","2015","1",1,54.1386840612592
"149","2015","1",2,41.3833857442348
"150","2015","1",3,50.0817469204927
"151","2015","1",4,50.1514247846256
"152","2015","1",5,54.5956964892412
"153","2015","1",6,49.6033887668654
"154","2015","1",7,39.440414507772
"155","2016","0",1,69.1213913043478
"156","2016","0",2,59.046875
"157","2016","0",3,75.4256144890039
"158","2016","0",4,75.5002935995302
"159","2016","0",5,86.7366946778711
"160","2016","0",6,85.1892976588629
"161","2016","0",7,62.4708051628765
"162","2016","1",1,73.8005453837164
"163","2016","1",2,54.5222024866785
"164","2016","1",3,71.0451485148515
"165","2016","1",4,69.3598003629764
"166","2016","1",5,76.7156783103168
"167","2016","1",6,72.7506643046944
"168","2016","1",7,57.2218856493752
"169","2017","0",1,79.8947794415216
"170","2017","0",2,63.2128530495293
"171","2017","0",3,76.340830449827
"172","2017","0",4,80.8196821515892
"173","2017","0",5,89.4328180737218
"174","2017","0",6,84.1861057998725
"175","2017","0",7,61.1950231481481
"176","2017","1",1,81.3983564013841
"177","2017","1",2,59.3607796340493
"178","2017","1",3,74.1964359718193
"179","2017","1",4,79.5505102040816
"180","2017","1",5,77.8997451146984
"181","2017","1",6,72.9661959777493
"182","2017","1",7,58.2887819326175
"183","2018","0",1,79.2729083665339
"184","2018","0",2,72.7927170868347
"185","2018","0",3,75.7786038826931
"186","2018","0",4,78.9213017751479
"187","2018","0",5,73.1878140703518
"188","2018","0",6,62.8617571059432
"189","2018","0",7,47.4081184860121
"190","2018","1",1,78.040841083704
"191","2018","1",2,70.7580015612803
"192","2018","1",3,78.5169669040637
"193","2018","1",4,76.81608040201
"194","2018","1",5,69.4780018331806
"195","2018","1",6,55.9612661391087
"196","2018","1",7,46.5158924205379
"197","2019","0",1,77.9086294416244
"198","2019","0",2,73.8964533224623
"199","2019","0",3,81.136635354398
"200","2019","0",4,84.6163636363636
"201","2019","0",5,73.9631277813096
"202","2019","0",6,63.8666245259166
"203","2019","0",7,49.3196322336398
"204","2019","1",1,81.7853513971211
"205","2019","1",2,71.0067061143984
"206","2019","1",3,79.0143442622951
"207","2019","1",4,81.9038961038961
"208","2019","1",5,67.5125673249551
"209","2019","1",6,56.994264645637
"210","2019","1",7,47.3666890530557
