Comuna;Nombre Comuna;Barrio;Nombre Barrio;codigoBarrioComuna;2014;2015;2016;2017;2018;2019
12;LA AMERICA;3;LOS PINOS;1203;1170;1185;1191;1213;1205;1208
12;LA AMERICA;4;LA AMERICA;1204;3236;3244;3280;3323;3321;3356
12;LA AMERICA;5;LA FLORESTA;1205;3435;3473;3505;3574;3615;3684
12;LA AMERICA;6;SANTA LUCIA;1206;2184;2199;2205;2233;2229;2243
12;LA AMERICA;7;EL DANUBIO;1207;1612;1633;1668;1758;1844;1914
12;LA AMERICA;8;CAMPO ALEGRE;1208;2153;2156;2163;2200;2200;2201
12;LA AMERICA;9;SANTA MONICA;1209;2244;2256;2282;2329;2336;2373
12;LA AMERICA;10;BARRIO CRISTOBAL;1210;2094;2184;2202;2219;2212;2459
12;LA AMERICA;11;SIMON BOLIVAR;1211;1812;1824;1839;1877;1898;1922
12;LA AMERICA;12;SANTA TERESITA;1212;3686;3695;3701;3718;3724;3744
12;LA AMERICA;13;CALASANZ PARTE ALTA;1213;4793;4795;4803;4823;4812;4813
13;SAN JAVIER;1;EL PESEBRE;1301;2700;3291;3290;3295;3267;3277
13;SAN JAVIER;2;BLANQUIZAL;1302;1654;1678;1683;1831;1830;1834
13;SAN JAVIER;3;SANTA ROSA DE LIMA;1303;873;879;879;895;888;888
13;SAN JAVIER;4;LOS ALCAZARES;1304;2213;2274;2293;2314;2403;2423
13;SAN JAVIER;5;METROPOLITANO;1305;640;644;660;677;678;680
13;SAN JAVIER;6;LA PRADERA;1306;3591;3606;3620;3736;3702;3717
13;SAN JAVIER;7;JUAN XXIII LA QUIEBRA;1307;2236;2240;2257;2366;2357;2375
13;SAN JAVIER;8;SAN JAVIER # 2;1308;1252;1258;1263;1295;1287;1299
13;SAN JAVIER;9;SAN JAVIER # 1;1309;1470;1494;1503;1516;1523;1534
13;SAN JAVIER;10;20 DE JULIO;1310;2551;2572;2585;2626;2613;2631
13;SAN JAVIER;11;BELENCITO;1311;1323;1323;1331;1338;1339;1347
13;SAN JAVIER;12;BETANIA;1312;1464;1473;1481;1500;1497;1503
13;SAN JAVIER;13;EL CORAZON;1313;873;880;882;908;896;869
13;SAN JAVIER;14;LAS INDEPENDENCIAS;1314;2699;2698;2674;2711;2658;2652
13;SAN JAVIER;15;NUEVOS CONQUISTADORES;1315;1894;1889;1850;1875;1844;1820
13;SAN JAVIER;16;EL SALADO;1316;3540;3864;3865;3888;3860;3844
13;SAN JAVIER;17;EDUARDO SANTOS;1317;433;446;453;466;477;483
13;SAN JAVIER;18;ANTONIO NARIÑO;1318;3464;3483;3512;3604;3574;3591
13;SAN JAVIER;19;EL SOCORRO;1319;1139;1139;1146;1604;1580;1588
13;SAN JAVIER;99;ILOCALIZADO  SAN JAVIER;1399;1;#N/D;#N/D;#N/D;#N/D;#N/D
14;EL POBLADO;1;BARRIO COLOMBIA;1401;26;24;24;23;23;23
14;EL POBLADO;3;VILLA CARLOTA;1403;1904;1903;1903;2278;2338;2338
14;EL POBLADO;4;CASTROPOL;1404;3568;3711;4076;4454;4529;4529
14;EL POBLADO;5;LALINDE;1405;1148;1148;1148;1326;1326;1383
14;EL POBLADO;6;LAS LOMAS # 1;1406;1619;1672;1741;1742;1740;1742
14;EL POBLADO;7;LAS LOMAS # 2;1407;1018;1123;1124;1148;1148;1120
14;EL POBLADO;8;ALTOS DEL POBLADO;1408;1322;1416;1462;1565;1722;1770
14;EL POBLADO;9;EL TESORO;1409;3893;3979;3979;4114;4160;4214
14;EL POBLADO;10;LOS NARANJOS;1410;2381;2389;2473;2478;2562;2564
14;EL POBLADO;11;LOS BALSOS # 1;1411;3399;3419;3519;3855;3988;4028
14;EL POBLADO;12;SAN LUCAS;1412;2741;2740;2764;2976;2962;2985
14;EL POBLADO;13;EL DIAMANTE # 2;1413;3250;3249;3249;3371;3382;3383
14;EL POBLADO;14;EL CASTILLO;1414;760;756;756;844;876;876
14;EL POBLADO;15;LOS BALSOS # 2;1415;2598;2597;2597;2597;2596;2597
14;EL POBLADO;16;ALEJANDRIA;1416;1974;1971;2004;2101;2131;2131
14;EL POBLADO;17;LA FLORIDA;1417;3772;3806;3807;3970;3964;3966
14;EL POBLADO;18;EL POBLADO;1418;325;311;318;320;317;283
14;EL POBLADO;19;MANILA;1419;591;588;595;606;599;619
14;EL POBLADO;20;ASTORGA;1420;650;640;640;642;642;643
14;EL POBLADO;21;PATIO BONITO;1421;2633;2624;2624;2624;2624;2624
14;EL POBLADO;22;LA AGUACATALA;1422;1627;1625;1625;1626;1623;1569
14;EL POBLADO;23;SANTA MARIA DE LOS ANGELES;1423;3365;3365;3370;3577;3626;3640
15;GUAYABAL;2;TENCHE;1502;1;1;#N/D;#N/D;#N/D;#N/D
15;GUAYABAL;3;TRINIDAD;1503;2513;2535;2538;2596;2580;2601
15;GUAYABAL;4;SANTA FE;1504;2819;2837;2854;2908;2901;2920
15;GUAYABAL;6;AEROPARQUE JUAN PABLO II;1506;145;145;145;144;144;144
15;GUAYABAL;7;CAMPO AMOR;1507;2070;2088;2098;2134;2130;2140
15;GUAYABAL;9;CRISTO REY;1509;3590;3636;3651;3799;3780;3817
15;GUAYABAL;10;GUAYABAL;1510;592;592;588;603;597;602
15;GUAYABAL;11;LA COLINA;1511;4679;4711;4734;4811;4805;4841
16;BELEN;1;FATIMA;1601;3078;3091;3107;3182;3182;3205
16;BELEN;2;ROSALES;1602;2665;2723;2741;2843;2887;3049
16;BELEN;3;BELEN;1603;3204;3228;3230;3241;3265;3262
16;BELEN;4;GRANADA;1604;1183;1203;1217;1252;1258;1263
16;BELEN;5;SAN BERNARDO;1605;5601;5682;5716;5849;5873;5916
16;BELEN;6;LAS PLAYAS;1606;2788;2834;2853;2887;2889;2898
16;BELEN;7;DIEGO ECHAVARRIA;1607;1778;1789;1790;1821;1826;1832
16;BELEN;8;LA MOTA;1608;3434;3435;3435;3541;3540;3479
16;BELEN;9;LA HONDONADA;1609;5260;5451;5519;5974;6293;6619
16;BELEN;10;EL RINCON;1610;5621;5646;5665;5824;5928;5932
16;BELEN;11;LOMA DE LOS BERNAL;1611;5911;5910;6093;6323;6270;6270
16;BELEN;12;LA GLORIA;1612;3901;3915;3934;3957;3955;3966
16;BELEN;13;ALTAVISTA;1613;3048;3074;3074;3100;3085;3106
16;BELEN;14;LA PALMA;1614;2139;2139;2152;2172;2202;2210
16;BELEN;15;LOS ALPES;1615;2140;2162;2161;2166;2264;2281
16;BELEN;16;LAS VIOLETAS;1616;2465;2489;2500;2534;2529;2528
16;BELEN;17;LAS MERCEDES;1617;3083;3090;3103;3124;3116;3122
16;BELEN;18;NUEVA VILLA DE ABURRA;1618;1091;1091;1092;1092;1093;1094
16;BELEN;19;MIRAVALLE;1619;1540;1545;1552;1584;1602;1595
16;BELEN;20;EL NOGAL - LOS ALMENDROS;1620;1373;1363;1398;1439;1536;1575
16;BELEN;21;CERRO NUTIBARA;1621;399;399;398;398;398;398
50;PALMITAS;1;VDA LA SUIZA;5001;56;56;57;63;59;61
50;PALMITAS;2;VDA LA FRISOLERA;5002;212;214;214;227;219;218
50;PALMITAS;3;VDA LA VOLCANA Y GUAYABAL;5003;92;94;95;98;94;88
50;PALMITAS;4;VDA PALMITAS;5004;58;58;57;60;60;60
50;PALMITAS;5;VDA LA ALDEA;5005;25;25;25;29;32;30
50;PALMITAS;6;VDA LA POTRERA MISERENGA;5006;139;135;135;137;135;134
50;PALMITAS;7;VDA LA URQUITA;5007;98;99;100;111;99;97
50;PALMITAS;86;SUBURBANO URQUITA;5086;64;64;64;69;64;62
50;PALMITAS;87;SUBURBANO POTRERA MISERENGA;5087;185;185;184;184;178;181
50;PALMITAS;88;SUBURBANO LA ALDEA;5088;96;98;99;102;98;99
50;PALMITAS;89;SUBURBANO PALMITAS;5089;106;107;113;113;111;110
60;SAN CRISTOBAL;0;CABECERA SAN CRISTOBAL;6000;3127;3135;3149;3452;3442;3439
60;SAN CRISTOBAL;1;VDA LA LOMA;6001;211;212;215;224;210;213
60;SAN CRISTOBAL;2;VDA LA PALMA PATIO;6002;74;75;74;86;73;78
60;SAN CRISTOBAL;3;VDA LAS PLAYAS;6003;100;100;100;110;98;105
60;SAN CRISTOBAL;4;VDA EL UVITO;6004;18;18;18;26;18;19
60;SAN CRISTOBAL;5;VDA NARANJAL;6005;56;56;57;73;58;59
60;SAN CRISTOBAL;6;VDA LA CUCHILLA;6006;53;49;49;54;44;43
60;SAN CRISTOBAL;7;VDA EL LLANO;6007;21;21;21;21;20;21
60;SAN CRISTOBAL;8;VDA TRAVESIAS;6008;67;66;66;70;64;59
60;SAN CRISTOBAL;9;VDA PEDREGAL ALTO;6009;213;211;211;222;210;218
60;SAN CRISTOBAL;10;VDA PEDREGAL BAJO;6010;14;14;14;15;13;13
60;SAN CRISTOBAL;11;VDA PAJARITO;6011;10;10;10;12;10;10
60;SAN CRISTOBAL;12;VDA EL PICACHO;6012;481;495;519;578;612;691
60;SAN CRISTOBAL;13;VDA EL CARMELO;6013;28;27;27;34;27;27
60;SAN CRISTOBAL;14;VDA YOLOMBO;6014;132;126;123;155;124;132
60;SAN CRISTOBAL;15;VDA SAN JOSE DE LA MONTAÑA;6015;226;225;224;271;224;232
60;SAN CRISTOBAL;16;VDA BOQUERON;6016;105;103;103;115;104;113
60;SAN CRISTOBAL;17;VDA LA LOMA ORIENTAL;6017;752;743;751;774;740;749
60;SAN CRISTOBAL;84;SUBURBANO LA LOMA;6084;2397;2408;2413;2453;2441;2486
60;SAN CRISTOBAL;85;SUBURBANO PALMA PATIO;6085;442;444;447;488;465;478
60;SAN CRISTOBAL;86;SUBURBANO LA CUCHILLA;6086;59;59;58;64;58;64
60;SAN CRISTOBAL;87;SUBURBANO TRAVESIAS;6087;962;969;972;998;1019;1048
60;SAN CRISTOBAL;88;SUBURBANO EL LLANO;6088;221;223;223;239;223;238
60;SAN CRISTOBAL;89;SUBURBANO PEDREGAL ALTO;6089;278;274;270;279;268;278
60;SAN CRISTOBAL;96;ZONA EXPANSION EDUARDO SANTOS;6096;1;1;1;2;1;1
60;SAN CRISTOBAL;97;ZONA EXPANSION ALTOS DE CALASANZ;6097;1686;2338;2494;2574;2928;3009
60;SAN CRISTOBAL;98;ZONA EXPANSION PAJARITO;6098;11095;11547;12819;13890;15392;15397
60;SAN CRISTOBAL;99;ILOCALIZADO SAN CRISTOBAL;6099;143;130;127;126;23;21
70;ALTAVISTA;1;VDA ALTAVISTA;7001;1042;1047;1060;1109;1082;1109
70;ALTAVISTA;2;VDA AGUAS FRIAS;7002;543;540;540;602;538;595
70;ALTAVISTA;83;SUBURBANO LA ESPERANZA;7083;145;145;145;147;145;148
70;ALTAVISTA;84;SUBURBANO PATIO BONITO;7084;295;297;297;312;300;307
70;ALTAVISTA;85;SUBURBANO SAN PABLO;7085;544;540;536;535;523;526
70;ALTAVISTA;86;SUBURBANO AGUAS FRIAS;7086;68;62;62;63;62;62
70;ALTAVISTA;87;SUBURBANO ALTAVISTA;7087;650;650;650;659;648;654
70;ALTAVISTA;88;SUBURBANO EL CORAZON;7088;646;645;647;664;649;697
70;ALTAVISTA;89;SUBURBANO EL MANZANILLO;7089;266;269;269;276;271;278
70;ALTAVISTA;96;ZONA DE EXPANSION ALTAVISTA;7096;1116;1118;1117;1121;1118;1122
70;ALTAVISTA;97;ZONA DE EXPANSION BELEN RINCON;7097;2053;2500;2600;3068;3321;3819
70;ALTAVISTA;98;ZONA EXPANSION EL NORAL;7098;2;2;2;2;2;2
70;ALTAVISTA;99;ILOCALIZADO  ALTAVISTA;7099;28;23;22;22;20;20
80;SAN ANTONIO DE PRADO;0;CABECERA SAN ANTONIO DE PRADO;8000;19761;20063;20807;22417;22514;22826
80;SAN ANTONIO DE PRADO;1;VDA EL VERGEL;8001;40;40;40;50;41;41
80;SAN ANTONIO DE PRADO;2;VDA LA FLORIDA;8002;171;173;174;193;173;172
80;SAN ANTONIO DE PRADO;3;VDA POTRERITO;8003;142;142;142;160;141;135
80;SAN ANTONIO DE PRADO;4;VDA LA OCULTA;8004;302;301;301;349;303;303
80;SAN ANTONIO DE PRADO;5;VDA LA VERDE;8005;243;243;243;292;243;243
80;SAN ANTONIO DE PRADO;6;VDA EL SALADO;8006;117;117;117;135;116;114
80;SAN ANTONIO DE PRADO;7;VDA EL ASTILLERO;8007;64;64;63;71;62;62
80;SAN ANTONIO DE PRADO;8;VDA YARUMALITO;8008;52;53;53;63;54;55
80;SAN ANTONIO DE PRADO;89;SUBURBANO POTRERITO;8089;67;67;67;73;67;67
80;SAN ANTONIO DE PRADO;98;ZONA EXPANSION SAN ANTONIO;8098;611;615;622;654;824;1083
90;SANTA ELENA;1;VDA EL CERRO;9001;165;165;167;212;168;185
90;SANTA ELENA;2;VDA EL LLANO;9002;21;21;21;21;20;21
90;SANTA ELENA;3;VDA EL PLAN;9003;118;117;116;136;111;119
90;SANTA ELENA;4;VDA LAS PALMAS;9004;282;285;286;323;296;309
90;SANTA ELENA;5;VDA MEDIA LUNA;9005;493;492;493;545;511;539
90;SANTA ELENA;6;VDA SANTA ELENA CENTRAL;9006;94;94;94;117;93;97
90;SANTA ELENA;7;VDA EL PLACER;9007;88;85;86;91;85;86
90;SANTA ELENA;8;VDA PIEDRAS BLANCAS;9008;1769;1847;1884;1977;2005;2226
90;SANTA ELENA;11;VDA PIEDRAS BLANCAS REPRESA;9011;253;252;252;267;249;265
90;SANTA ELENA;12;VDA PIEDRA GORDA;9012;119;119;119;134;118;119
90;SANTA ELENA;13;VDA BARRO BLANCO;9013;180;178;178;199;183;192
90;SANTA ELENA;77;SUBURBANO EL TESORO;9077;90;91;91;110;96;96
90;SANTA ELENA;78;SUBURBANO EL CERRO;9078;35;35;35;43;35;34
90;SANTA ELENA;79;SUBURBANO PIEDRA GORDA;9079;58;59;59;61;59;63
90;SANTA ELENA;80;SUBURBANO BARRO BLANCO;9080;66;67;68;72;67;70
90;SANTA ELENA;81;SUBURBANO EL PLACER;9081;196;199;200;216;204;211
90;SANTA ELENA;82;SUBURBANO CHACALTAYA;9082;43;43;43;53;43;42
90;SANTA ELENA;83;SUBURBANO MIRADOR DEL POBLADO;9083;92;95;96;103;102;100
90;SANTA ELENA;84;SUBURBANO SANTA ELENA CENTRAL;9084;91;92;90;107;91;93
90;SANTA ELENA;85;SUBURBANO EL LLANO;9085;221;223;223;239;223;238
90;SANTA ELENA;86;SUBURBANO EL PLAN;9086;353;359;359;866;390;414
90;SANTA ELENA;87;SUBURBANO MATASANO # 3;9087;2;2;2;4;2;2
90;SANTA ELENA;88;SUBURBANO MATASANO # 2;9088;7;7;7;14;7;8
90;SANTA ELENA;89;SUBURBANO MATASANO # 1;9089;33;33;33;82;33;35
90;SANTA ELENA;99;ILOCALIZADO SANTA ELENA;9099;15;9;8;16;8;7
